Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link,ï»¿Category
komplek housing,Komplek perumahan,Ibrahim kamaru,"8FM7+8XH, Masiaga, Kec. Bone, Kabupaten Bone Bolango, Gorontalo 96585","Masiaga, Kec. Bone, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3333243,1.234.649.779,https://maps.google.com/?cid=0x0:0x36122b92ea2b91eb,,
komplek housing,Komplek perumahan,Rumah Dila,"8FQ8+53V, Jl. Trans Sulawesi, Masiaga, Kec. Bone, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Masiaga, Kec. Bone, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3379285,1.234.647.736,https://maps.google.com/?cid=0x0:0x40051ad095a5561f,,
komplek housing,komplek housing,Rumah Arjun Imani,"8C77+829, Taludaa - Pelabuhan Gorontalo, Tumbuh Mekar, Kec. Bone, Kabupaten Bone Bolango, Gorontalo 96585","Taludaa - Pelabuhan Gorontalo, Tumbuh Mekar, Kec. Bone, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3132988,1.234.126.177,https://maps.google.com/?cid=0x0:0xf67139bec1603fc4,,
komplek housing,Komplek perumahan,Rumah Aksa putra,"96Q8+376 Kantor, Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3876577,1.232.156.426,https://maps.google.com/?cid=0x0:0x2c02e05e9e471b57,,
komplek housing,Komplek perumahan,Rumah T.Makjun  A.Lalunggeli,"886V+6X9, Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.31037,1.233.448.721,https://maps.google.com/?cid=0x0:0xc9f4a7f0234a0c5,,
komplek housing,Pembangunan Perumahan,Rmh Bagus,"8FQ6+34V, Jembatan kecil Jl. Trans Sulawesi, Taludaa, Kec. Bone, Kabupaten Bone Bolango, Gorontalo 96585","Jembatan kecil Jl. Trans Sulawesi, Taludaa, Kec. Bone, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3377944,1.234.595.885,https://maps.google.com/?cid=0x0:0x2de933fc7dfa5435,,
komplek housing,Perhimpunan Pengembang Perumahan,Ssaddpu home,"886R+7CW, Taludaa - Pelabuhan Gorontalo, Moopiya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Taludaa - Pelabuhan Gorontalo, Moopiya, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3107354,1.233.410.677,https://maps.google.com/?cid=0x0:0x9d3d7b4e877d7ab9,,
komplek housing,Komplek perumahan,Belle Si Dua Putri,"886P+96C, Jl. Trans Sulawesi, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3109148,1.233.356.825,https://maps.google.com/?cid=0x0:0xbe998e774e32c381,,
komplek housing,Komplek perumahan,Nurzein Gunibala,"886P+C4H, Jl. Trans Sulawesi, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3110677,1.233.353.519,https://maps.google.com/?cid=0x0:0xb2fec7d8a424944b,,
komplek housing,Komplek perumahan,yayunda pakaya,"96H7+X25, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3798991,1.232.127.267,https://maps.google.com/?cid=0x0:0xab2c579cd0b16fe7,,
komplek housing,Komplek perumahan,Adithika Niimati,"96M6+3WR, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3827776,1.232.122.011,https://maps.google.com/?cid=0x0:0x1d3eb0021577ce1a,,
komplek housing,Komplek perumahan,"Laurel, Navapark BSD City","Sampora, Kec. Cisauk, Kabupaten Tangerang, Banten 15345","Kec. Cisauk, Kabupaten Tangerang",GORONTALO,15345.0,Indonesia,,,,-62.917.752,1.066.542.817,https://maps.google.com/?cid=0x0:0x5b58eb03c8fb5984,,
komplek housing,Kantor Perusahaan,Nava Park Country Club,"Lengkong Kulon, Kec. Pagedangan, Kabupaten Tangerang, Banten 15331","Kec. Pagedangan, Kabupaten Tangerang",GORONTALO,15331.0,Indonesia,,,,-62.913.066,1.066.529.543,https://maps.google.com/?cid=0x0:0xb67f2bec801f16d4,,
komplek housing,Kompleks Apartemen,VANYA PARK - BSD CITY,"Pagedangan, Kec. Pagedangan, Kabupaten Tangerang, Banten","Kabupaten Tangerang, Banten",GORONTALO,,Indonesia,,,,-62.959.012,1.066.213.069,https://maps.google.com/?cid=0x0:0xd8364cc8104a684f,,
komplek housing,komplek housing,Komplek Housing,"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414","Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks",GORONTALO,17414.0,Indonesia,,,,-6.293.724,1.069.165.114,https://maps.google.com/?cid=0x0:0x9c50464976dee674,,
komplek housing,komplek housing,Kec. Bone Raya,"Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3112008,123.337.468,https://maps.google.com/?cid=0x0:0xa897a6e58d5723c8,,
komplek housing,Komplek perumahan,RAHMACOM,"887G+GXC, Inomata, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3138003,1.233.273.972,https://maps.google.com/?cid=0x0:0xabe83d76ea017dc5,,
komplek housing,Komplek perumahan,Rumah,"Moopiya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,32766142.0,,,0.310345,1.233.406.117,https://maps.google.com/?cid=0x0:0x8c40068380c31299,,
komplek housing,Kantor Perusahaan,Desa Alo,"9952+8HV, Alo, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Alo, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3583649,1.233.514.203,https://maps.google.com/?cid=0x0:0x9e9e711f310ae04e,,
komplek housing,Komplek perumahan,R.bouty,"887C+JM, Pelita Jaya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3138426,1.233.223.985,https://maps.google.com/?cid=0x0:0xf0ae742cb37fb054,,
komplek housing,Komplek perumahan,ICIN RIGAWE,"887C+JM, Pelita Jaya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3140462,1.233.216.291,https://maps.google.com/?cid=0x0:0xb7c978152b75ac4,,
komplek housing,Komplek perumahan,Rumah Vhivha Audio Sound,"885W+FC, Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.308662,123.346.083,https://maps.google.com/?cid=0x0:0x8977e3ee8f9afd3c,,
komplek housing,Komplek perumahan,Rumah AgungSaputra,"8952+VFW, Jl. Trans Sulawesi, Mootayu, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Mootayu, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3100697,1.233.502.698,https://maps.google.com/?cid=0x0:0xb8b60c502faf0f69,,
komplek housing,Komplek perumahan,Belle Si Dua Putri,"886P+96C, Jl. Trans Sulawesi, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3109148,1.233.356.825,https://maps.google.com/?cid=0x0:0xbe998e774e32c381,,
komplek housing,Perhimpunan Pengembang Perumahan,Ssaddpu home,"886R+7CW, Taludaa - Pelabuhan Gorontalo, Moopiya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Taludaa - Pelabuhan Gorontalo, Moopiya, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3107354,1.233.410.677,https://maps.google.com/?cid=0x0:0x9d3d7b4e877d7ab9,,
komplek housing,Komplek perumahan,Nurzein Gunibala,"886P+C4H, Jl. Trans Sulawesi, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3110677,1.233.353.519,https://maps.google.com/?cid=0x0:0xb2fec7d8a424944b,,
komplek housing,Komplek perumahan,Syifa tahir,"885P+QR2, Jl. Trans Sulawesi, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3100049,1.233.374.742,https://maps.google.com/?cid=0x0:0x229e9a2327ae6e04,,
komplek housing,Perhimpunan Pengembang Perumahan,Rumah Alm. Yansen Halib,"9952+8HV, Alo, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Alo, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3583649,1.233.514.203,https://maps.google.com/?cid=0x0:0x3295f6a49427b7cd,,
komplek housing,Komplek perumahan,Rumah Qur'an Al-Malik,"886R+M96, Moopiya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,81241365077.0,,,0.3116697,1.233.408.989,https://maps.google.com/?cid=0x0:0x4bb6790f0fe36fb4,,
komplek housing,Komplek perumahan,Rumah fitri kamaru,"9948+G5P, Mootayu, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3563384,123.365.447,https://maps.google.com/?cid=0x0:0xe91e538a30000d21,,
komplek housing,Komplek perumahan,Rumah Aril yahya,"886V+Q44, Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3118549,1.233.428.276,https://maps.google.com/?cid=0x0:0xd9e873e3f2f58ef8,,
komplek housing,Komplek perumahan,Moopiya,"886V+Q44, Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3118549,1.233.428.276,https://maps.google.com/?cid=0x0:0x9360d5217e6fd12f,,
komplek housing,Komplek perumahan,Rumah saya,"994Q+F5R, Bilolantunga, Kec. Bone, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3562465,1.233.878.855,https://maps.google.com/?cid=0x0:0xebc1ea3ca99f0acb,,
komplek housing,komplek housing,rumah nanda,"886M+GX6, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3112806,1.233.348.859,https://maps.google.com/?cid=0x0:0x391ffe57e4d9e9c,,
komplek housing,Komplek perumahan,Rumah T.Makjun  A.Lalunggeli,"886V+6X9, Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Tombulilato, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.31037,1.233.448.721,https://maps.google.com/?cid=0x0:0xc9f4a7f0234a0c5,,
komplek housing,Komplek perumahan,Pikal ibrahim,"887F+FFM, Pelita Jaya, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3137035,1.233.236.674,https://maps.google.com/?cid=0x0:0x5e38c50ae905a481,,
komplek housing,Pembangunan Perumahan,Erina mahmud,"887P+3X5, Mootinelo, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3126491,1.233.374.739,https://maps.google.com/?cid=0x0:0x5cb8b9d0dfa6b944,,
komplek housing,Komplek perumahan,Bele le Rival,"886P+96C, Jl. Trans Sulawesi, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi, Laut Biru, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,82394691906.0,,,0.3109468,1.233.355.124,https://maps.google.com/?cid=0x0:0xceae981537086f1a,,
komplek housing,Komplek perumahan,RUMAH Serli,"98MW+6V4, Inomata, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3830064,1.233.472.119,https://maps.google.com/?cid=0x0:0xd3e0bee7bebe2e73,,
komplek housing,komplek housing,Kec. Bonepantai,"Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3787348,1.232.120.635,https://maps.google.com/?cid=0x0:0xa78a2048c092d941,,
komplek housing,komplek housing,'ca House,"96Q8+FM4, Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3886401,1.232.167.021,https://maps.google.com/?cid=0x0:0xaa1d21da9ac8251d,,
komplek housing,Perhimpunan Pengembang Perumahan,Rumah percah elan,"9689+WMX, Tihu, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Tihu, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3673507,1.232.192.203,https://maps.google.com/?cid=0x0:0x89239e9f9730f08c,,
komplek housing,komplek housing,Rumah Pakaja/Kadir,"96H6+4GQ, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3778417,1.232.113.548,https://maps.google.com/?cid=0x0:0x8a209b14fb996df1,,
komplek housing,Komplek perumahan,Bele le multi,"96J4+7F, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3806764,1.232.062.485,https://maps.google.com/?cid=0x0:0x38ead29ec3360d49,,
komplek housing,Komplek perumahan,Sriyansi House,"96X6+Q3, Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.399474,123.210.223,https://maps.google.com/?cid=0x0:0x2f7652c83c20d702,,
komplek housing,Kantor Perusahaan,Desa Lembah Hijau,"C53P+69X, Lembah Hijau, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96583","Lembah Hijau, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96583.0,Indonesia,,,,0.4031125,1.231.859.844,https://maps.google.com/?cid=0x0:0xec3a8b029709ae57,,
komplek housing,komplek housing,Dimas daud,"96M4+CF8, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.383525,1.232.062,https://maps.google.com/?cid=0x0:0xe22822fcb7a8a342,,
komplek housing,Komplek perumahan,Reypan Nusi,"969G+H7P, Tongo, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Tongo, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3690775,123.225.723,https://maps.google.com/?cid=0x0:0x33db0c609fce4585,,
komplek housing,Komplek perumahan,Adithika Niimati,"96M6+3WR, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3827776,1.232.122.011,https://maps.google.com/?cid=0x0:0x1d3eb0021577ce1a,,
komplek housing,Komplek perumahan,Bele le Ady,"96G5+MHM, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3767192,1.232.089.136,https://maps.google.com/?cid=0x0:0x134509ff5f764460,,
komplek housing,Komplek perumahan,yayunda pakaya,"96H7+X25, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3798991,1.232.127.267,https://maps.google.com/?cid=0x0:0xab2c579cd0b16fe7,,
komplek housing,Komplek perumahan,rumah imel,"C5GV+FM3, Lembah Hijau, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.4261492,1.231.941.823,https://maps.google.com/?cid=0x0:0xf1bda3b19b1f29d9,,
komplek housing,komplek housing,Tunas Jaya,"96W5+WV2, Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3976863,1.232.095.396,https://maps.google.com/?cid=0x0:0x291051a2c6c5d8da,,
komplek housing,Komplek perumahan,Isran,"96R4+QC6, Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3918908,1.232.062.948,https://maps.google.com/?cid=0x0:0xca6572b919ab2f17,,
komplek housing,Komplek perumahan,RUMAH MUCHTAR JUNUS HADIA,"96J8+25M, Dusun luwoo, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Dusun luwoo, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3800881,1.232.153.117,https://maps.google.com/?cid=0x0:0xb666c1323557a27d,,
komplek housing,Komplek perumahan,Rumah Usman,"96Q8+JM2, Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3890125,1.232.166.406,https://maps.google.com/?cid=0x0:0x63fa6d36a001ad4c,,
komplek housing,Pembangunan Perumahan,Rumah Keluarga Saleh,"963P+J83, Uabanga, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Uabanga, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3539851,1.232.358.343,https://maps.google.com/?cid=0x0:0x61e6051af936a379,,
komplek housing,Perumahan,Rumah Ismail Tobuhu,"96C9+339, Tihu, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.370154,1.232.177.391,https://maps.google.com/?cid=0x0:0xc77ea221443871eb,,
komplek housing,Komplek perumahan,RUMAH AMALDIN,"968G+H38, Tongo, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Tongo, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3664041,1.232.251.968,https://maps.google.com/?cid=0x0:0x23f0e7603eb76db8,,
komplek housing,Toko umum,Ilham Amruna,"96R4+95H, Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3909286,1.232.054.921,https://maps.google.com/?cid=0x0:0xaab7441086470a82,,
komplek housing,komplek housing,Rumah vika,"87Q3+52P, Nyiur Hijau, Kec. Bulawa, Kabupaten Bone Bolango, Gorontalo 96585","Nyiur Hijau, Kec. Bulawa, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.337876,123.252.808,https://maps.google.com/?cid=0x0:0xbce94fa66dfd551e,,
komplek housing,Komplek perumahan,Keluarga Mohi,"C53P+JH2, Lembah Hijau, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96583","Lembah Hijau, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96583.0,Indonesia,,,,0.4040171,1.231.863.874,https://maps.google.com/?cid=0x0:0x87c82c114fc89b13,,
komplek housing,Pembangunan Perumahan,Bilungala Utara,"96H6+FRW, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3787348,1.232.120.635,https://maps.google.com/?cid=0x0:0xd839d358f8225d3e,,
komplek housing,Komplek perumahan,Rmh. Hermanto Pantolai,"96R4+52X, Tunas Jaya, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,85240905792.0,,,0.390479,1.232.051.246,https://maps.google.com/?cid=0x0:0x412847a2f9310fda,,
komplek housing,Komplek perumahan,Rumah aman,"96J8+V4V, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3828138,1.232.152.993,https://maps.google.com/?cid=0x0:0xd07942156cd4fd1b,,
komplek housing,Komplek perumahan,Rumah Aksa putra,"96Q8+376 Kantor, Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3876577,1.232.156.426,https://maps.google.com/?cid=0x0:0x2c02e05e9e471b57,,
komplek housing,Komplek perumahan,Rumah Andres,"96Q8+JM2, Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3888778,1.232.158.967,https://maps.google.com/?cid=0x0:0xed086481d25120a7,,
komplek housing,komplek housing,Kec. Botupingge,"Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.5304047,1.230.933.823,https://maps.google.com/?cid=0x0:0xf030274799e8eb6f,,
komplek housing,Komplek perumahan,Rajitshop,"G3HR+P75, Jl. Sapta Marga, Buata, Kec. Botupingge, Kabupaten Bone Bolango, Gorontalo 96115","Jl. Sapta Marga, Buata, Kec. Botupingge, Kabupaten Bone Bolango",GORONTALO,96115.0,Indonesia,,,,0.5292631,1.230.907.268,https://maps.google.com/?cid=0x0:0xad92a46381b5cb7a,,
komplek housing,Komplek perumahan,Perumahan Yuni Noldi,"G3JW+Q5X, Luwohu, Kec. Botupingge, Kabupaten Bone Bolango, Gorontalo 96115","Luwohu, Kec. Botupingge, Kabupaten Bone Bolango",GORONTALO,96115.0,Indonesia,,,,0.5321078,1.230.955.065,https://maps.google.com/?cid=0x0:0x6c4ab5f592781514,,
