Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
Pembangunan Perumahan,Komplek griya nova indah,"54WG+PG2, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1967699,96.1262619,https://maps.google.com/?cid=0x0:0x185025c5097af313
Perumahan,Perumahan grand ketapang,"Leuhan, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1954799,96.1317447,https://maps.google.com/?cid=0x0:0x510b0ba8b6be8fda
Perumahan,Griya Nova Indah,"54QJ+FFG, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1886943,96.1312005,https://maps.google.com/?cid=0x0:0x8d71767cb2021fa6
Komplek perumahan,"Perumahan Para Indah, Cot Seumeureueng","63CH+VJ7, Cot Seumeureng, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Cot Seumeureng, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.2221531,96.0790617,https://maps.google.com/?cid=0x0:0xfdcb24e2f1a05540
Pusat Pendidikan,PERUMAHAN GRIYA MAHONI,"5567+9HG, Ranto Panyang Tim., Kec. Meureubo, Kabupaten Aceh Barat, Aceh 23681","Ranto Panyang Tim., Kec. Meureubo, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,811681867.0,4.1609262,96.1639456,https://maps.google.com/?cid=0x0:0x939fd442867a77db
Perumahan,Perumahan Griya Mahoni Alpen,"Griya Mahoni Alpen No.5 Blok C, Paya Peunaga, Kec. Meureubo, Kabupaten Aceh Barat, Aceh 23671","Paya Peunaga, Kec. Meureubo, Kabupaten Aceh Barat",ACEH,23671.0,Indonesia,85260036754.0,4.1452331,96.1893683,https://maps.google.com/?cid=0x0:0x806473112726643a
Peternak,Perumahan Desa Suak Bidok,"9W69+X8Q, Suak Bidok, Kec. Arongan Lambalek, Kabupaten Aceh Barat, Aceh 23652","Suak Bidok, Kec. Arongan Lambalek, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.3624644,95.9183659,https://maps.google.com/?cid=0x0:0xfca680c89862f37c
,Perumahan OF7 KTS,"C32X+HMV, Paya Luah, Kec. Woyla, Kabupaten Aceh Barat, Aceh 23654","Paya Luah, Kec. Woyla, Kabupaten Aceh Barat",ACEH,23654.0,Indonesia,,4.4014786,96.099186,https://maps.google.com/?cid=0x0:0x2c80d386c4fe8beb
Kompleks Townhouse,Perumahan budha tzu-chi aceh barat,"F533+P34 komplek budha tzu chi, Jalan Haji dariah, Alue Kuyuen, Kec. Woyla Tim., Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,82273306205.0,4.4542745,96.1526985,https://maps.google.com/?cid=0x0:0xbfac0f1ce1247b55
Pembangunan Perumahan,Perumahan Khazanah,"F533+P34, Alue Kuyuen, Kec. Woyla Tim., Kabupaten Aceh Barat, Aceh 23681","Alue Kuyuen, Kec. Woyla Tim., Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.4542745,96.1526985,https://maps.google.com/?cid=0x0:0x9dd447ac1e729af4
Komplek perumahan,Komplek islamik,"54VR+CQ6, Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Blang Berandang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1932973,96.1424771,https://maps.google.com/?cid=0x0:0x4195cec628c2d6cc
housing complex,KOMPLEK PERMATA RESIDENCE,"54C7+V92, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,85297400259.0,4.1731535,96.1135939,https://maps.google.com/?cid=0x0:0x407105fe93304dad
