Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
Indonesia,Cafe Laguna 2,"5498+Q5Q, Jl. Meulaboh - Banda Aceh, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Jl. Meulaboh - Banda Aceh, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,,4.1694591,96.1154869,https://maps.google.com/?cid=0x0:0x84094ab6b0f6d099
Kafe,IE TEA CAFE,"54FQ+W5R, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23618","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23618.0,Indonesia, 081398855300,4.1748506,96.1378906,https://maps.google.com/?cid=0x0:0xc8376fc168230ab4
Rumah Makan,Warcut Cafe,"Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.2097637,96.0487113,https://maps.google.com/?cid=0x0:0x610b29ebd2b4dc4c
Restoran,Wows Cafe Bu Cut,"625X+WG4, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 081362979209,4.2097517,96.0488364,https://maps.google.com/?cid=0x0:0xc5fe18aba967b702
Kedai Kopi,Wahyuna Jaya Cafe,"6XXP+6WC, Suak Pante Breuh, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Pante Breuh, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 082325864410,4.2480554,95.9872685,https://maps.google.com/?cid=0x0:0x8eea64ecfe3a86e4
Kedai Kopi,Cafe R4,"6XXQ+42Q, Suak Pante Breuh, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Pante Breuh, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 081362718174,4.2478359,95.9876123,https://maps.google.com/?cid=0x0:0x506db2174d94c6f4
Kedai Kopi,KM 10 cafe,"6368+9WX, Jl. Meulaboh - Banda Aceh, Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Jl. Meulaboh - Banda Aceh, Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 085261362692,4.2108381,96.0673062,https://maps.google.com/?cid=0x0:0x9d4ea08707ce1ff9
Rumah Makan,WOWs CAFE,"6357+296, Jl. Meulaboh - Banda Aceh, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Jl. Meulaboh - Banda Aceh, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 081362979209,4.2075412,96.0633873,https://maps.google.com/?cid=0x0:0xf1c6fbadd59fcca9
Kafe,Cemara cafe,"625W+RXG, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 085360325868,4.2095658,96.0474617,https://maps.google.com/?cid=0x0:0x91ee323b09f285c9
Kafe,3a cafe,"625X+PP7, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.209284,96.0493008,https://maps.google.com/?cid=0x0:0xa6d0bc2d9cdac5e1
Kafetaria,ANDELA CAFE,"Jl.meulaboh - kuala bhee simpang kuwet, Layung, Kec. Bubon, Kabupaten Aceh Barat, Aceh 23651","Layung, Kec. Bubon, Kabupaten Aceh Barat",ACEH,23651.0,Indonesia, 082210605015,4.2994964,96.0863159,https://maps.google.com/?cid=0x0:0x218731e12583e4e
Kafe,Kafe Buket Raja,"Kuala Bhee, Kec. Woyla, Kabupaten Aceh Barat, Aceh 23654","Kec. Woyla, Kabupaten Aceh Barat",ACEH,23654.0,Indonesia, 082128959262,4.3872781,96.0480031,https://maps.google.com/?cid=0x0:0x96b4ba84ebe6b3d6
Kafe,Kafe Seneubok,"93P4+3P7, Lueng Tanoh Tho, Kec. Woyla, Kabupaten Aceh Barat, Aceh 23654","Lueng Tanoh Tho, Kec. Woyla, Kabupaten Aceh Barat",ACEH,23654.0,Indonesia, 085213247159,4.3851613,96.0567914,https://maps.google.com/?cid=0x0:0xf4dfdb3fbd604e82
Kafe,Cafe Ulei Kareung,"G473+49F, Kajeung, Kec. Sungai MAS, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia, 085296554080,4.5128175,96.1034178,https://maps.google.com/?cid=0x0:0xa5aa758a552918ba
Kafe,ErZed Coffe,"92PX+3RC, Kuala Bhee, Kec. Woyla, Kabupaten Aceh Barat, Aceh 23654","Kuala Bhee, Kec. Woyla, Kabupaten Aceh Barat",ACEH,23654.0,Indonesia,,4.3851897,96.04952,https://maps.google.com/?cid=0x0:0x6d3eeffd3eeafa
Kedai Kopi,MULIA COFFEE,"Sawang Teubee, Kec. Kaway XVI, Kabupaten Aceh Barat, Aceh 23681","Kec. Kaway XVI, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia, 081362785963,4.3126727,96.200051,https://maps.google.com/?cid=0x0:0x3282bd5958d2b0a7
Kafe,Gampoeng Coffee  Roastery,"Jl. Iskandar Muda, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia, 085260449718,4.1449371,96.1236451,https://maps.google.com/?cid=0x0:0x99250bc770811e80
Kafe,Beterrcoffe,"C634+QGW, Jl. Geumpang - Tutut, Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat, Aceh 23681","Jl. Geumpang - Tutut, Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia, 082160104471,4.4044907,96.2063315,https://maps.google.com/?cid=0x0:0x99a10faad93b0a06
Kafe,Cafe Alah Beh,"C644+8CH, Jl. Geumpang - Tutut, Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat, Aceh 23681","Jl. Geumpang - Tutut, Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.4058146,96.2061018,https://maps.google.com/?cid=0x0:0x195bad1f8d4ce15c
Kafe,Dermaga Cafe Samudra,"C55V+RGH Geunang Krueng Nyat, Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat, Aceh 23681","Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.4095645,96.1938717,https://maps.google.com/?cid=0x0:0x620aac67d0d6792d
Restoran,LaPerla cafe,"Jl. Samudra No.005, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia, 082269459003,4.1439222,96.1197884,https://maps.google.com/?cid=0x0:0x809dcac65ba277de
Kedai Kopi,Dubai Coffe,"54GQ+37V, Jl. Sisingamangaraja, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Jl. Sisingamangaraja, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1752256,96.1381841,https://maps.google.com/?cid=0x0:0x359caeec14ab98ed
cafe,inonacoffee,"Jl. Manek Roo, Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia, 082217776003,4.1518547,96.1257623,https://maps.google.com/?cid=0x0:0x5e239ce4ed1a9223
Kedai Kopi,Sweet coffee,"Jl. Gajah Mada No.39, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1531897,96.1321105,https://maps.google.com/?cid=0x0:0x1cbd59644e4d118
Kedai Kopi,Tabaa Coffee,"Jl. Iskandar Muda, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia, 085362631086,4.1454861,96.1202346,https://maps.google.com/?cid=0x0:0xf24be741c81b474d
Kafe,Dens Container Coffee Shop,"Jl. Bakti kopri, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1507409,96.118263,https://maps.google.com/?cid=0x0:0x399ed943779fe5b0
Kedai Kopi,Dawoed Coffee,"542F+2JV, Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia, 081262550024,4.1501163,96.1240529,https://maps.google.com/?cid=0x0:0xdb2af3b37d8ba01c
Kedai Kopi,San Coffee,"44W9+29X, Jl. Iskandar Muda, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Jl. Iskandar Muda, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.145124,96.1184842,https://maps.google.com/?cid=0x0:0xda2c1ba98e88090f
Kafe,Cafe Sunset,"Unnamed Road, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1541695,96.1095501,https://maps.google.com/?cid=0x0:0xf51da664a73ac444
Kedai Kopi,REXSO COFFEE,"Jl. Sisingamangaraja, Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia, 085175196448,4.1687516,96.1336576,https://maps.google.com/?cid=0x0:0xabcf02505d0dd53d
Kafe,Nine o Cafe,"44VG+MH2, Jl. Lintas Barat Sumatera, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Jl. Lintas Barat Sumatera, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1441467,96.1263784,https://maps.google.com/?cid=0x0:0xbc4c78303eda533b
Kafe,TE EM Cafe,"44WC+2P9, Jl. Iskandar Muda, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,,4.1450289,96.1218615,https://maps.google.com/?cid=0x0:0x74c3a5c66fc1da88
Kafe,Kangen Cafee,"5454+8GC, Unnamed Road, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23615","Unnamed Road, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23615.0,Indonesia,,4.15832,96.1062782,https://maps.google.com/?cid=0x0:0xd2bff9733f3acad4
Kedai Kopi,Varia Coffe,"44PJ+59J, Ps. Aceh, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Ps. Aceh, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.1354521,96.1308833,https://maps.google.com/?cid=0x0:0x7d9ac6469623b337
Kafe,Kafe Rangkang Muda,"544H+X3H, Jl. Imam Bonjol, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Jl. Imam Bonjol, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1574262,96.1277296,https://maps.google.com/?cid=0x0:0x5eb7cb106d643ff0
Kafe,Chaplin Coffee,"Jalan Iskandar Muda,Ujong Kalak, Batu Putih, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23614","Batu Putih, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23614.0,Indonesia,,4.1466198,96.1171253,https://maps.google.com/?cid=0x0:0x2a1df1c37fc6556d
Kafe,CAFE R4 BLACK JAMBO,"Lrg. Punti, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1519218,96.1146783,https://maps.google.com/?cid=0x0:0xfd703b22f8550a79
Kedai Kopi,Cafe Bagus,"547F+636, Jl. Imam Bonjol, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,,4.1630678,96.1226504,https://maps.google.com/?cid=0x0:0xa5fc0289ea841d97
Kafe,PITSTOP coffee and juice,"Jl. Imam Bonjol, no93Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616","no93Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23616.0,Indonesia, 085260238005,4.160382,96.1243998,https://maps.google.com/?cid=0x0:0x355fd06f59fffff5
Bar Kopi Espresso,Warkop Pondok Coffee,"545G+HCP, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1589512,96.1260714,https://maps.google.com/?cid=0x0:0xd626f4ed4a1521d1
Kedai Kopi,S Coffee,"547F+636, Jl. Imam Bonjol, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,,4.1630302,96.1226557,https://maps.google.com/?cid=0x0:0x28a0221e3922b836
Kedai Kopi,Sarhan Coffee,"542M+W4F, Jl. Gajah Mada, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Jl. Gajah Mada, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia, 082156377868,4.1523205,96.1327897,https://maps.google.com/?cid=0x0:0xd1817d36878e1e00
Kedai Kopi,Corner Coffee,"543J+FH2, Jl. Gajah Mada, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Jl. Gajah Mada, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia, 082274868884,4.1536353,96.1313764,https://maps.google.com/?cid=0x0:0x2b3c0dd646659a84
Kafe,Warkop A2N Coffee,"Jl. Sisingamangaraja, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia, 085260456705,4.1747516,96.1376566,https://maps.google.com/?cid=0x0:0x99efc1204c989ed0
Kedai Kopi,Cafe Ramadhan,"52XH+CF9, Lhok Bubon, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Lhok Bubon, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.1985472,96.0287355,https://maps.google.com/?cid=0x0:0xf72576f211e515b4
Restoran,Pw Cafe,"625X+W96, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.209795,96.0483797,https://maps.google.com/?cid=0x0:0xb2b9135741b431e2
Kafe,Coffe MP,"63H9+H2V, Cot Seumeureng, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Cot Seumeureng, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 081264421790,4.2289852,96.0675578,https://maps.google.com/?cid=0x0:0x6b70742e3b144aa7
Restoran,Green Cafee,"6352+F9P, Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Suak Timah, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 085260676773,4.208716,96.0509591,https://maps.google.com/?cid=0x0:0x5ad8970fe560ca33
Kedai Kopi,Cafe Boh Hate 2,"6XXP+HQV, Jl. Meulaboh - Banda Aceh, Suak Geudubang, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Jl. Meulaboh - Banda Aceh, Suak Geudubang, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.2489783,95.9869288,https://maps.google.com/?cid=0x0:0xe246938c688fa90a
Kafe,Lot Mun Coffee,"63H8+5V9, Cot Seumeureng, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Cot Seumeureng, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 085260023572,4.2279212,96.0672455,https://maps.google.com/?cid=0x0:0xeeff10819776331d
Kafe,Cafe Abdiya,"9W5C+J8R, Seuneubok Teungoh, Kec. Arongan Lambalek, Kabupaten Aceh Barat, Aceh 23652","Seuneubok Teungoh, Kec. Arongan Lambalek, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.3591235,95.9207775,https://maps.google.com/?cid=0x0:0x195787c8cd5794ed
Kafe,Alfath Coffe,"8X87+2HJ, Drien Rampak, Kec. Arongan Lambalek, Kabupaten Aceh Barat, Aceh 23652","Drien Rampak, Kec. Arongan Lambalek, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 082238354162,4.3150936,95.9638797,https://maps.google.com/?cid=0x0:0xb89741972be622a8
Komplek perumahan,Ilham Coffee,"6366+VXP, Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.2122007,96.0624671,https://maps.google.com/?cid=0x0:0xe1561d26bba3401d
Kafe,Altira Cafe,"92QV+QPQ, Bakat, Kec. Woyla, Kabupaten Aceh Barat, Aceh 23654","Bakat, Kec. Woyla, Kabupaten Aceh Barat",ACEH,23654.0,Indonesia,,4.3894679,96.0443557,https://maps.google.com/?cid=0x0:0x4cb23d92ec616f19
Kafe,Kausar Coffe,"65G8+8CJ, Mesjid, Kec. Kaway XVI, Kabupaten Aceh Barat, Aceh 23681","Mesjid, Kec. Kaway XVI, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.2258388,96.1660012,https://maps.google.com/?cid=0x0:0x25b08c433e0899e
cafe,Halil Kafe,"952Q+CPG, Babah Krueng Teklep, Kec. Pantai Ceuremen, Kabupaten Aceh Barat, Aceh 23681","Babah Krueng Teklep, Kec. Pantai Ceuremen, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia, 082299072292,4.3510722,96.1893301,https://maps.google.com/?cid=0x0:0x1633794caffd9769
Kedai Kopi,Cafe Putra,"46Q6+QRP, Unnamed Road, Ujong Tanoh Darat, Kec. Meureubo, Kabupaten Aceh Barat, Aceh 23681","Unnamed Road, Ujong Tanoh Darat, Kec. Meureubo, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia, 081355090955,4.139461,96.2120818,https://maps.google.com/?cid=0x0:0x3870b6b43c2b7636
Kedai Kopi,Sabar Cafe,"45FM+545, Jl. Meulaboh - Tapaktuan, Gunong Kleng, Kec. Meureubo, Kabupaten Aceh Barat, Aceh 23681","Jl. Meulaboh - Tapaktuan, Gunong Kleng, Kec. Meureubo, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.1228996,96.1828475,https://maps.google.com/?cid=0x0:0x128a164a3b1075ca
