ï»¿Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link,Category
,Toko Ponsel,Parafone Amurang,"Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.834.153,1.245.726.427,https://maps.google.com/?cid=0x0:0xb6afca104e4db09e,,mall
,Toko bahan makanan,Frama Cell  Travel,"5HJJ+HHW, Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81344325352.0,,,11.814.946,1.245.814.614,https://maps.google.com/?cid=0x0:0x79259435aed5c57c,,mall
,Pusat Perbelanjaan,Meivy-DISTRIBUTOR KK INDONESIA-PONDANG,"6H4R+5M6, Pondang, Kec. Amurang Tim., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81244317455.0,,,12.054.047,1.245.916.425,https://maps.google.com/?cid=0x0:0x54379b79de580e6f,,mall
,Toko,AnekaPlastik Amurang Cab. Lewet,"5HMH+R88, Lewet, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85242566723.0,,,11.845.386,1.245.783.228,https://maps.google.com/?cid=0x0:0x112351c2c10b7c72,,mall
,Komplek perumahan,Pepah lombok,"6H3V+C5M, Pondang, Kec. Amurang Tim., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,12.035.937,1.245.929.338,https://maps.google.com/?cid=0x0:0xb96afc5c69674622,,mall
,Taman,Taman Amurang,"Jl. Pasar No.15, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.844.827,1.245.725.748,https://maps.google.com/?cid=0x0:0xf00169f8d3048038,,mall
,Seniman Balon,balon gas amurang,"Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82346497448.0,,,11.851.642,1.245.758.062,https://maps.google.com/?cid=0x0:0xed4a178fb29a30c8,,mall
,Pusat Perbelanjaan,Counter SHANIA SELULAR,"Jalan Pasar Ranoiapo Kompleks Pertokoan Pasar 54, Ranoyapo, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85340509999.0,,,11.845.295,1.245.717.771,https://maps.google.com/?cid=0x0:0xda3f3bf3611a5ece,,mall
,Kios,Sanjaya cutting sticker amurang,"5HPG+387, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85813888884.0,,,11.849.949,1.245.757.117,https://maps.google.com/?cid=0x0:0xb94058ec05a63149,,mall
,Toko Akuarium,ABG PET SHOP AMURANG,"5HWP+5FF, Jl. Trans Sulawesi, Ranomea, Kec. Amurang Tim., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,8114301107.0,,,11.954.258,1.245.861.638,https://maps.google.com/?cid=0x0:0xe5032e0ea4793495,,mall
,Toko bahan makanan,Warung Anugerah AEA Tumbelaka,"5HJJ+3VF, Jl. Amurang-Ratahan, Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895801371169.0,,,11.801.918,1.245.821.849,https://maps.google.com/?cid=0x0:0x4fd6097e003f61ed,,mall
,Toko,Ikan Hias Amurang (Gold Fish),"5HMF+FGM, Jl. Trans Sulawesi, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81354345673.0,,,11.836.326,1.245.736.739,https://maps.google.com/?cid=0x0:0x43e2a3a9fbf99ac,,mall
,mall,Kec. Amurang Bar.,"Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.867.785,1.245.164.503,https://maps.google.com/?cid=0x0:0x96cf76748db66f92,,mall
,Toko,VOLTUS AMURANG,"5HMF+RFR, Jalan, Uwuran Satu, Amurang, South Minahasa Regency, North Sulawesi","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,4302429175.0,,,11.846.028,1.245.736.455,https://maps.google.com/?cid=0x0:0x57de7ad4287bc9d9,,mall
,Toko Perlengkapan Rumah,Toko MK Houseware Amurang,"5HJ9+P85, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,8114342288.0,,,11.817.873,1.245.684.345,https://maps.google.com/?cid=0x0:0x6c6d08f8d8454cd6,,mall
,Kios,Markas,"Jl aer skolah jaga 4, Kec. Amurang Bar.","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.867.075,1.245.164.741,https://maps.google.com/?cid=0x0:0xadf4c7ccf8c630fc,,mall
,Pasar Grosir Sayur,Pasar Ikan Amurang,"5HMF+RFR, Jalan Pasar No.15, Ranoyapo, Amurang, Jalan, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.856.506,1.245.724.531,https://maps.google.com/?cid=0x0:0x85cba4ebc83764eb,,mall
,Pusat Perbelanjaan,Syela Allshop,"4GQ8+987, Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.384.051,1.245.157.909,https://maps.google.com/?cid=0x0:0xdcdf217feb003ce6,,mall
,Pusat Perbelanjaan,Charla Sumual Allshop,"4GQ8+C6F, Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82290147022.0,,,1.138.561,1.245.155.588,https://maps.google.com/?cid=0x0:0xc6ac4004ebae1aa5,,mall
,Bank,UNIVERSITAS MANDIRI AMURANG,"5HMF+XHF, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81342294470.0,,,11.849.393,1.245.739.265,https://maps.google.com/?cid=0x0:0xeb882a187bf0a41d,,mall
,Pusat Perbelanjaan,Triple'A,"4HVM+QMJ, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.444.691,1.245.841.365,https://maps.google.com/?cid=0x0:0x4d58aea9e0726f3f,,mall
,Toko,Ikha_Shop Amurang,"5HJ8+5HQ, Jl. Trans Sulawesi, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85340166082.0,,,11.804.733,1.245.664.791,https://maps.google.com/?cid=0x0:0x2366de577c66e3c7,,mall
,Toko Akuarium,Amurang Reptile,"5HPF+4WW, Jl. Sindulang, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81344909460.0,,,11.853.516,1.245.748.232,https://maps.google.com/?cid=0x0:0x8f77a73845a93978,,mall
,Minimarket,Sakura Mart,"Jl. Pasar No.15, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.834.614,1.245.718.686,https://maps.google.com/?cid=0x0:0x478febc656de2698,,mall
,Toko,Kios Cakalang Gepe Om Anto,"5GRF+4M2, Jl. Trans Sulawesi, Kawangkoan Bawah, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81355883113.0,,,11.902.651,1.245.241.323,https://maps.google.com/?cid=0x0:0x5ac4a0cf201c4582,,mall
,Toko umum,"Sendhy Shop Kosmetik Amurang""""","5HW2+WMJ, Jl. Trans Sulawesi, Kawangkoan Bawah, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82347304751.0,,,11.973.423,1.245.516.329,https://maps.google.com/?cid=0x0:0x6987d56eed125ef4,,mall
,Pusat Perbelanjaan,BLACKPRINT,"5GQ9+PWM, Unnamed Road, Kapitu, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82290652609.0,,,11.893.448,1.245.198.028,https://maps.google.com/?cid=0x0:0xdfe64eca748dfd20,,mall
,Toko,AnekaPlastik Amurang Cab. Lewet,"5HMH+R88, Lewet, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85242566723.0,,,11.845.386,1.245.783.228,https://maps.google.com/?cid=0x0:0x112351c2c10b7c72,,mall
,Toko bahan makanan,Frama Cell  Travel,"5HJJ+HHW, Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81344325352.0,,,11.814.946,1.245.814.614,https://maps.google.com/?cid=0x0:0x79259435aed5c57c,,mall
,Kios,Warung Selvi Lesar,"4GP7+JVF, Jl. Amurang - Kotamobagu, Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85342111713.0,,,11.365.711,1.245.146.799,https://maps.google.com/?cid=0x0:0x2db09a0d376cf439,,mall
,Toko bahan makanan,Warung Anugerah AEA Tumbelaka,"5HJJ+3VF, Jl. Amurang-Ratahan, Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895801371169.0,,,11.801.918,1.245.821.849,https://maps.google.com/?cid=0x0:0x4fd6097e003f61ed,,mall
,Pusat Perbelanjaan,Counter SHANIA SELULAR,"Jalan Pasar Ranoiapo Kompleks Pertokoan Pasar 54, Ranoyapo, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85340509999.0,,,11.845.295,1.245.717.771,https://maps.google.com/?cid=0x0:0xda3f3bf3611a5ece,,mall
,Seniman Balon,balon gas amurang,"Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82346497448.0,,,11.851.642,1.245.758.062,https://maps.google.com/?cid=0x0:0xed4a178fb29a30c8,,mall
,mall,Kec. Kumelembuai,"Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,10.871.129,1.244.894.698,https://maps.google.com/?cid=0x0:0xa2d03c63ae50dad,,mall
,Minimarket,Alfamart Motoling Minsel (1Y83),"2FRJ+27H, Motoling, Kec. Motoling, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,10.400.545,1.244.807.453,https://maps.google.com/?cid=0x0:0x504fc4e65471a7e2,,mall
,Pusat Perbelanjaan,Cleo shope,"2CWP+V85, Raanan Baru II, Kec. Motoling Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,10.471.341,124.435.862,https://maps.google.com/?cid=0x0:0x1415ad655915987b,,mall
,mall,Meydi langi,"2FJ7+QPM, Raanan Lama, Kec. Motoling, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,10.319.729,1.244.643.083,https://maps.google.com/?cid=0x0:0x1d2a6c9412e4c8b3,,mall
,Pusat Perbelanjaan,Megamall Manado,"Kawasan Megamas, Kantor Pengelola Megamall, Jl. Piere Tendean, Wenang Sel., Kec. Wenang, Kota Manado, Sulawesi Utara 95234","Kantor Pengelola Megamall, Jl. Piere Tendean, Wenang Sel., Kec. Wenang, Kota Manado",SULAWESI UTARA,95234.0,Indonesia,431879889.0,,,14.839.687,1.248.348.372,https://maps.google.com/?cid=0x0:0xfcc9b9fa2283700,,mall
,Toko,Toko messya  kaffe,"2FQG+FXH, Motoling Satu, Kec. Motoling, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,10.386.852,1.244.774.935,https://maps.google.com/?cid=0x0:0xe9cbb83c3839b3c2,,mall
,Toko umum,Toko Bading,"2CWP+8M7, Raanan Baru II, Kec. Motoling Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85218156674.0,,,10.457.817,1.244.366.795,https://maps.google.com/?cid=0x0:0x249dd5973a5d5af2,,mall
,Pusat Perbelanjaan,Syela Allshop,"4GQ8+987, Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.384.051,1.245.157.909,https://maps.google.com/?cid=0x0:0xdcdf217feb003ce6,,mall
,Pusat Perbelanjaan,Chylan  Christiany,"2GP7+RG7, Jl. Jaga 4, Picuan, Kec. Motoling Tim., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85256433227.0,,,103.703,1.245.138.079,https://maps.google.com/?cid=0x0:0x9db8b6480801e4e,,mall
,Pusat Perbelanjaan,Charla Sumual Allshop,"4GQ8+C6F, Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82290147022.0,,,1.138.561,1.245.155.588,https://maps.google.com/?cid=0x0:0xc6ac4004ebae1aa5,,mall
,Toko Fotokopi,Tondi-Tondi Cell FotoCopy,"2CXP+37W, Raanan Baru II, Kec. Motoling Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82166555721.0,,,10.477.341,1.244.357.054,https://maps.google.com/?cid=0x0:0x49e01567d1806a4e,,mall
,Kios,Warung Selvi Lesar,"4GP7+JVF, Jl. Amurang - Kotamobagu, Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85342111713.0,,,11.365.711,1.245.146.799,https://maps.google.com/?cid=0x0:0x2db09a0d376cf439,,mall
,Bengkel Sepeda Motor,Shoroom Andre Motor Motoling,"2FRJ+447, Motoling, Kec. Motoling, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82189626165.0,,,10.402.895,1.244.803,https://maps.google.com/?cid=0x0:0x226f5483432c517a,,mall
,Toko,Warung Wenda,"4C5J+XQG, Sula, Pakuure satu, Kec. Tenga, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.099.308,1.244.319.461,https://maps.google.com/?cid=0x0:0x88b280fe12469a2f,,mall
,Toko,KIOS KEREN cell,"4CFH+JRH jg 3, Pakuure, Kec. Tenga, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.240.523,1.244.296.234,https://maps.google.com/?cid=0x0:0xf31962ff6703c071,,mall
,Toko Suvenir,KIOS GJ Collection,"2CWP+X9G, Raanan Baru II, Kec. Motoling Bar., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82191204007.0,,,10.474.347,1.244.359.553,https://maps.google.com/?cid=0x0:0x6085ae8c417623fc,,mall
,Pusat Perbelanjaan,Manado Town Square,"Jl. Piere Tendean, Kota Manado, Sulawesi Utara 95114",Kota Manado,SULAWESI UTARA,95114.0,Indonesia,,,,14.723.227,1.248.319.485,https://maps.google.com/?cid=0x0:0xea03227619d4f862,,mall
,Pusat Perbelanjaan,Kawasan Megamas Manado,"Kawasan Megamas, Jl. Piere Tendean No.1 Blok 2B2, Kota Manado, Sulawesi Utara 95111","Jl. Piere Tendean No.1 Blok 2B2, Kota Manado",SULAWESI UTARA,95111.0,Indonesia,4318881888.0,,,14.852.638,1.248.308.189,https://maps.google.com/?cid=0x0:0x670cdd279400252f,,mall
,Toko,Double'K,"CR6F+PQ6, Warembungan, jaga X, Kabupaten Minahasa, Sulawesi Utara","Kabupaten Minahasa, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895802953817.0,,,1.411.776,1.248.244.061,https://maps.google.com/?cid=0x0:0x116310a7395322a5,,mall
,mall,Kios Aurelia mtg,"2FQF+F5P, Unnamed Road, Motoling Dua, Kec. Motoling, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,10.387.179,1.244.729.655,https://maps.google.com/?cid=0x0:0x23d4917df3888b20,,mall
,,Mawar Mart,"7R66+G4V, Jl. kawangkoan-Tomohon, Leilem Tiga, Kec. Sonder, Kabupaten Minahasa, Sulawesi Utara","Kabupaten Minahasa, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,12.613.718,1.248.103.057,https://maps.google.com/?cid=0x0:0x553662dc883279e3,,mall
,mall,Kec. Maesaan,"Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.8779406,1.244.741.741,https://maps.google.com/?cid=0x0:0x7b9cfccbb759dc4d,,mall
,Pusat Perbelanjaan,Cherise Cell,"VFWF+J8F, Tumani, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85299116579.0,,,0.896573,1.244.732.842,https://maps.google.com/?cid=0x0:0xb0b77771cc6374a4,,mall
,Toko Pakaian Bekas,Chonaroom digital Wi-Fi  Samuel Cell,"Tambelang, Maesaan, Tambelang, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,89698555123.0,,,0.8695474,1.244.674.233,https://maps.google.com/?cid=0x0:0x6c244636d272f971,,mall
,Pusat Perbelanjaan,Miss Cell,"Temboan, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85225213717.0,,,0.8970253,1.244.415.646,https://maps.google.com/?cid=0x0:0x9f86d93eb9e55a9c,,mall
,Perhimpunan Pengembang Perumahan,Fildalula home,"WFC9+RJ4, Tompaso Baru Satu, Kec. Tompaso Baru, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,8971582628.0,,,0.9220122,1.244.690.835,https://maps.google.com/?cid=0x0:0x4968fb3e06e3445f,,mall
,Toko Ponsel,VR shop,"Tumani, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85340001903.0,,,0.9062017,1.244.715.871,https://maps.google.com/?cid=0x0:0x3208d79f06e6174d,,mall
,Toko bahan makanan,Kios Thomas,"VFC7+6Q2, Tambelang, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85145023549.0,,,0.8705238,1.244.643.784,https://maps.google.com/?cid=0x0:0x7967d97dd7daf9f2,,mall
,Kios,ModoX.foodshop,"QFR8+XF7, Unnamed Road, Kakenturan, Kec. Modoinding, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7924076,1.244.661.627,https://maps.google.com/?cid=0x0:0x515d6e332ea90fce,,mall
,Toko,UD.Khenkimm,"WF55+2WM, Lowian, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85757120223.0,,,0.9075807,1.244.598.024,https://maps.google.com/?cid=0x0:0x217fafbd03f243ad,,mall
,Komplek perumahan,Kel.Woruntu-Monintja,"WF4C+VG6, Jl. Amurang - Kotamobagu, Tumani, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85397153755.0,,,0.907163,1.244.712.567,https://maps.google.com/?cid=0x0:0x2b750edfc7914058,,mall
,Toko,Livv'Shopp (Jl. Aer Panas Jaga V),"WFG9+5QH, Tompaso Baru Satu, Kec. Tompaso Baru, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,82196443698.0,,,0.9254459,1.244.694.902,https://maps.google.com/?cid=0x0:0x32c153a35a22827f,,mall
,,UD. RYLGUIRA,"WF45+JVH, Lowian, Kec. Maesaan, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.9065514,124.459.744,https://maps.google.com/?cid=0x0:0x59eedfbf18e9f929,,mall
,Toko bahan makanan,Oland mart online,"WF98+3FV, Tompaso Baru Dua, Kec. Tompaso Baru, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.9177476,1.244.661.652,https://maps.google.com/?cid=0x0:0x5695633b9ff3952d,,mall
,mall,Distributor PT NASA Manado,"WF99+RWF, Tompaso Baru Dua, Kec. Tompaso Baru, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.9195541,1.244.697.673,https://maps.google.com/?cid=0x0:0xec89a6ecad0c965d,,mall
