Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link;;
building materials;Toko Bahan Bangunan;tb.putra bungsu;no 57134, Jl. Dr. Setiabudi No.57, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Jl. Dr. Setiabudi No.57, Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;271731427;-75.533.763;1.108.181.993;https://maps.google.com/?cid=0x0:0x533ff09c1037ba9f;;
building materials;Toko Bahan Bangunan;TB.Kembar Mulyo;FR87+G48, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;;-75.337.229;110.812.824;https://maps.google.com/?cid=0x0:0x1d4f24ce8df3c96a;;
building materials;Toko Bahan Bangunan;TB Sumber Baru;Jl. DI Panjaitan No.41, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;82284449996;-75.551.199;1.108.291.145;https://maps.google.com/?cid=0x0:0x2b64d1bd81fd0cd8;;
building materials;Toko Bahan Bangunan;TB SUMBER WARAS;Jl. Pakel No.56, Bonangan, Sumber, Kec. Banjarsari, Kabupaten Karanganyar, Jawa Tengah 57171;Bonangan, Sumber, Kec. Banjarsari, Kabupaten Karanganyar;JAWA TENGAH;57171;Indonesia;271715835;-7.546.792;11.079.681;https://maps.google.com/?cid=0x0:0xd7b4fe2049f77792;;
building materials;Toko Bahan Bangunan;TB Holidin (Toko Bangunan) Banjarsari Ciamis;Jl. Pahauran, Sindangsari, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Sindangsari, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;82127853057;-7.472.612;1.086.134.305;https://maps.google.com/?cid=0x0:0x4828985eac79999b;;
building materials;Toko Bahan Bangunan;yahya putra 1;GJ9F+PHR, Suka Maju, Banjarsari, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Suka Maju, Banjarsari, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;;-74.806.496;1.086.238.893;https://maps.google.com/?cid=0x0:0x4d059da29e6f6971;;
building materials;Toko Bahan Bangunan;TB An-Nur;GMP2+V74, Jl. Banjarsari - Lakbok, Sindangasih, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Jl. Banjarsari - Lakbok, Sindangasih, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;85222626859;-74.628.738;1.086.506.961;https://maps.google.com/?cid=0x0:0xcc50d8baf1e8e7d2;;
building materials;Toko Bahan Bangunan;TB. TEGAR KEMBAR (TEGARJAYA GRUP);GHHX+6JJ, Jl. Sukajadi Raya, Sindangsari, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Jl. Sukajadi Raya, Sindangsari, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;85795211754;-74.719.218;1.085.990.173;https://maps.google.com/?cid=0x0:0x56b8c2d54e812e55;;
building materials;Toko Bahan Bangunan;Toko Matrial Inti Bumi;GJGQ+87C, Sindanghayu, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Sindanghayu, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;82240083717;-74.741.799;1.086.381.486;https://maps.google.com/?cid=0x0:0x9b7f357456bab1fe;;
building materials;Toko Bahan Bangunan;TB Sejahtera;Jl. Raya Banjarsari No.134, Cikaso, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Cikaso, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;265650066;-75.077.295;1.085.697.792;https://maps.google.com/?cid=0x0:0xb015f6d4cbeb9265;;
building materials;Toko Bahan Bangunan;Tb knr;GJ59+WG6, Cibadak, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Cibadak, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;85523660863;-74.902.114;1.086.187.802;https://maps.google.com/?cid=0x0:0xc372086de0a27c55;;
building materials;Toko Bahan Bangunan;Toko Bangunan Oja;FMQ3+4F8, Jl. Raya Pangandaran, Ciulu, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Jl. Raya Pangandaran, Ciulu, Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;;-75.122.132;1.086.537.148;https://maps.google.com/?cid=0x0:0xcc3c27a04c5e08f;;
building materials;building materials;Jawa Barat 46383;Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat;Kabupaten Ciamis, Jawa Barat;JAWA TENGAH;;Indonesia;;-75.280.604;1.085.938.124;https://maps.google.com/?cid=0x0:0x1c00c5eb568eeaa0;;
building materials;Toko Bahan Bangunan;TB Banyuanyar;Jl. Letjen Suprapto, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137;Banyuanyar, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57137;Indonesia;271742719;-75.437.666;1.108.066.252;https://maps.google.com/?cid=0x0:0x9f442b4c4d9433d2;;
building materials;Toko Bahan Bangunan;Tb Berkah Syukur;CRXG+4GJ, Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;8985227888;-75.521.666;1.108.262.584;https://maps.google.com/?cid=0x0:0xa481f1e4ce10700c;;
building materials;Toko Bahan Bangunan;Tk. Ada;CRQ9+G6M, Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132;Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57132;Indonesia;89695627922;-7.561.172;1.108.180.367;https://maps.google.com/?cid=0x0:0xacdff5b3e260ac75;;
building materials;building materials;Kec. Banjarsari;Kota Surakarta, Jawa Tengah;Kota Surakarta, Jawa Tengah;JAWA TENGAH;;Indonesia;;-75.406.889;1.108.205.514;https://maps.google.com/?cid=0x0:0x4027a76e3530340;;
building materials;Toko Bahan Bangunan;TB Sinar Abadi;Sukasari, Kacamatan Banjarsari, Kabupaten Ciamis, Jawa Barat 46383;Kacamatan Banjarsari, Kabupaten Ciamis;JAWA TENGAH;46383;Indonesia;265650659;-74.803.759;10.859.839;https://maps.google.com/?cid=0x0:0x2980879e79eb6e7d;;
building materials;Kantor Perusahaan;Holcim Indonesia;Jl. Imam Bonjol No.23, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Keprabon, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271890462;-75.697.886;1.108.258.636;https://maps.google.com/?cid=0x0:0x2d2ee97e92b142e6;;
building materials;Toko Bahan Bangunan;Graha Surya Gemilang. UD;Jl. Wora Wari No.34, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;Mangkubumen, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57139;Indonesia;271718002;-75.644.108;110.811.982;https://maps.google.com/?cid=0x0:0xefb6f9b63628d57b;;
building materials;Toko Bahan Bangunan;TB. Rejo;Jl. Lumban Tobing No.15, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;Setabelan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57139;Indonesia;271646755;-75.623.711;1.108.273.932;https://maps.google.com/?cid=0x0:0x6ad76076cac89a55;;
building materials;Toko Bahan Bangunan;Jateng Abadi Mulyo PT;CRM8+JGG, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Timuran, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271825461;-7.565.949;110.816.332;https://maps.google.com/?cid=0x0:0x15990abdadd376bf;;
building materials;Toko Bahan Bangunan;Delta Utama;Jl. A. Yani No.173 C, Ngemplak, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Ngemplak, Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;2716793300;-7.554.518;1.108.286.869;https://maps.google.com/?cid=0x0:0xc94a9fa94cfa8eaa;;
building materials;Pasar bahan bangunan;Rojo House Solution;Jl. Kepatihan No.6B, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129;Kepatihan Wetan, Kec. Jebres, Kota Surakarta;JAWA TENGAH;57129;Indonesia;81218862978;-75.653.199;1.108.324.209;https://maps.google.com/?cid=0x0:0x99a89dbed42fc95f;;
building materials;Toko Perlengkapan Rumah;UD Guna Jaya;JL Kepolisian No.1-A, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57141;Timuran, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57141;Indonesia;271715166;-75.667.285;1.108.167.111;https://maps.google.com/?cid=0x0:0x7c66b14ec1896e93;;
building materials;Toko Bahan Bangunan;Tk. Ada;CRQ9+G6M, Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132;Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57132;Indonesia;89695627922;-7.561.172;1.108.180.367;https://maps.google.com/?cid=0x0:0xacdff5b3e260ac75;;
building materials;Toko Bahan Bangunan;NUSANTARA;Jl. A. Yani No.149 / 31A, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;89505773745;-75.547.251;1.108.299.301;https://maps.google.com/?cid=0x0:0x9692a47cccd9309e;;
building materials;Toko Bahan Bangunan;Toko Besi Manahan;Jl. Hasanudin No.58, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;Mangkubumen, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57139;Indonesia;81329956585;-75.591.778;1.108.089.279;https://maps.google.com/?cid=0x0:0x7f318aaa599426e8;;
building materials;Toko Bahan Bangunan;UD. Hasil Alam;Jl. Kebangkitan Nasional No.10, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141;Sriwedari, Kec. Laweyan, Kota Surakarta;JAWA TENGAH;57141;Indonesia;271718482;-7.570.507;110.816.179;https://maps.google.com/?cid=0x0:0x37772fc7d913c8eb;;
building materials;building materials;Mortar Solo (Rapi Mortar, Eco Mortar, Demix);Jl. Nayu Barat no. 6, Jl. Nayu Barat No.6, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Nayu Barat No.6, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;85179567291;-75.503.149;1.108.229.039;https://maps.google.com/?cid=0x0:0x1c84e7081ceb4cbd;;
building materials;Toko Bahan Bangunan;TB Wie Tiok He;Jl. K.H Ahmad Dahlan No.60, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Keprabon, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;27165527;-75.694.049;1.108.251.666;https://maps.google.com/?cid=0x0:0x399978e888cf0772;;
building materials;Toko Bahan Bangunan;Sinar Terang Jaya;Jl. Letjen S. Parman No.116, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;271717564;-75.548.607;110.823.788;https://maps.google.com/?cid=0x0:0x5a6ed521844ff3b0;;
building materials;Toko Bahan Bangunan;tb.putra bungsu;no 57134, Jl. Dr. Setiabudi No.57, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Jl. Dr. Setiabudi No.57, Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;271731427;-75.533.763;1.108.181.993;https://maps.google.com/?cid=0x0:0x533ff09c1037ba9f;;
building materials;Toko Bahan Bangunan;Tk. Ada;CRQ9+G6M, Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132;Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57132;Indonesia;89695627922;-7.561.172;1.108.180.367;https://maps.google.com/?cid=0x0:0xacdff5b3e260ac75;;
building materials;Pusat Perbelanjaan;Putra Abadi. CV;Jl. Gajahmada No.164, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132;Punggawan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57132;Indonesia;271637900;-75.601.496;1.108.194.751;https://maps.google.com/?cid=0x0:0x7622e73a7a211179;;
building materials;Toko Bahan Bangunan;Rizqi Mulyo Material;FR7F+JXP, Jl. Bromo Raya, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Jl. Bromo Raya, Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;85728650091;-7.535.908;110.824.938;https://maps.google.com/?cid=0x0:0xd61b519e6dac83c0;;
building materials;Toko Bahan Bangunan;Jateng Abadi Mulyo PT;CRM8+JGG, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Timuran, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271825461;-7.565.949;110.816.332;https://maps.google.com/?cid=0x0:0x15990abdadd376bf;;
building materials;Toko Bahan Bangunan;TB. TUNAS BENGAWAN;Jl. Ronggowarsito No.157, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Timuran, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271716507;-7.566.019;110.816.686;https://maps.google.com/?cid=0x0:0x9e6db3f225c60cc1;;
building materials;Toko Perlengkapan Rumah;UD Guna Jaya;JL Kepolisian No.1-A, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57141;Timuran, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57141;Indonesia;271715166;-75.667.285;1.108.167.111;https://maps.google.com/?cid=0x0:0x7c66b14ec1896e93;;
building materials;Toko Bahan Bangunan;Toko Bangunan Polaris;Jl. A. Yani No.207, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57126;Manahan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57126;Indonesia;271717562;-75.559.973;1.107.970.926;https://maps.google.com/?cid=0x0:0x530ab2f1c0605438;;
building materials;Toko Bahan Bangunan;TB Banyuanyar;Jl. Letjen Suprapto, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137;Banyuanyar, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57137;Indonesia;271742719;-75.437.666;1.108.066.252;https://maps.google.com/?cid=0x0:0x9f442b4c4d9433d2;;
building materials;Kantor Perusahaan;Holcim Indonesia;Jl. Imam Bonjol No.23, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Keprabon, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271890462;-75.697.886;1.108.258.636;https://maps.google.com/?cid=0x0:0x2d2ee97e92b142e6;;
building materials;Toko Bahan Bangunan;TB Sumber Baru;Jl. DI Panjaitan No.41, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;82284449996;-75.551.199;1.108.291.145;https://maps.google.com/?cid=0x0:0x2b64d1bd81fd0cd8;;
building materials;Toko Bahan Bangunan;UD. Salshabilla;Jl. Ki Mangun Sarkoro No.94, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;8366560900;-75.435.911;1.108.120.766;https://maps.google.com/?cid=0x0:0xec01fd0ddfdd7a3d;;
building materials;Toko Bahan Bangunan;Karya Mandiri GYPSUM;CRR7+MFH, Jl. Hasanudin, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;Jl. Hasanudin, Mangkubumen, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57139;Indonesia;81393957150;-7.558.301;110.813.719;https://maps.google.com/?cid=0x0:0x983ab50995395c1f;;
building materials;Toko Bahan Bangunan;UD. Sido Luhur;JL Raya Solo - Kalioso, Km. 9, 5, Plesungan, Gondang Rejo, Timuran, Karanganyar Surakarta, Kota Surakarta, Jawa Tengah 57141;Km. 9, 5, Plesungan, Gondang Rejo, Timuran, Karanganyar Surakarta, Kota Surakarta;JAWA TENGAH;57141;Indonesia;271852025;-75.667.285;1.108.167.111;https://maps.google.com/?cid=0x0:0x42be589e7d10063c;;
building materials;Toko Bahan Bangunan;Delta Utama;Jl. A. Yani No.173 C, Ngemplak, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Ngemplak, Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;2716793300;-7.554.518;1.108.286.869;https://maps.google.com/?cid=0x0:0xc94a9fa94cfa8eaa;;
building materials;Toko Bahan Bangunan;TB. Rejo;Jl. Lumban Tobing No.15, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;Setabelan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57139;Indonesia;271646755;-75.623.711;1.108.273.932;https://maps.google.com/?cid=0x0:0x6ad76076cac89a55;;
building materials;Pasar bahan bangunan;Rojo House Solution;Jl. Kepatihan No.6B, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129;Kepatihan Wetan, Kec. Jebres, Kota Surakarta;JAWA TENGAH;57129;Indonesia;81218862978;-75.653.199;1.108.324.209;https://maps.google.com/?cid=0x0:0x99a89dbed42fc95f;;
building materials;Kantor Perusahaan;Holcim Indonesia;Jl. Imam Bonjol No.23, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Keprabon, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271890462;-75.697.886;1.108.258.636;https://maps.google.com/?cid=0x0:0x2d2ee97e92b142e6;;
building materials;Toko Bahan Bangunan;NUSANTARA;Jl. A. Yani No.149 / 31A, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;89505773745;-75.547.251;1.108.299.301;https://maps.google.com/?cid=0x0:0x9692a47cccd9309e;;
building materials;Toko Bahan Bangunan;Material Bangunan P. Hadi;CRXC+FV3, Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;;-75.513.611;1.108.221.656;https://maps.google.com/?cid=0x0:0xcc68cce729b9f2a3;;
building materials;Toko Bahan Bangunan;Tk. Ada;CRQ9+G6M, Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132;Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57132;Indonesia;89695627922;-7.561.172;1.108.180.367;https://maps.google.com/?cid=0x0:0xacdff5b3e260ac75;;
building materials;Toko Bahan Bangunan;Rizqi Mulyo Material;FR7F+JXP, Jl. Bromo Raya, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Jl. Bromo Raya, Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;85728650091;-7.535.908;110.824.938;https://maps.google.com/?cid=0x0:0xd61b519e6dac83c0;;
building materials;Toko Bahan Bangunan;Toko Besi SAKIYEM;Jl. Letjen S. Parman No.209, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;81329098814;-75.548.604;1.108.234.735;https://maps.google.com/?cid=0x0:0xd9adbce17fd1f48e;;
building materials;Toko Bahan Bangunan;TB Sumber Baru;Jl. DI Panjaitan No.41, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;82284449996;-75.551.199;1.108.291.145;https://maps.google.com/?cid=0x0:0x2b64d1bd81fd0cd8;;
building materials;Toko Bahan Bangunan;Erenka Jaya;Jalan Ahmad Yani No 175 Ngemplak Banjarsari Jebres Surakarta, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;271637474;-75.544.626;110.828.591;https://maps.google.com/?cid=0x0:0xeb95b1bdf41a359a;;
building materials;building materials;Gatra;Jl. Walter Monginsidi No.87, Kestalan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133;Kestalan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57133;Indonesia;271633637;-75.579.137;1.108.240.712;https://maps.google.com/?cid=0x0:0x6e391530c8d82920;;
building materials;Toko Bahan Bangunan;TB Kondang Rejo;Jl. Letjen S. Parman No.251GilinganKec, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;;-75.535.387;1.108.231.253;https://maps.google.com/?cid=0x0:0x22093f0a111ceff8;;
building materials;Toko Bahan Bangunan;TB Banyuanyar;Jl. Letjen Suprapto, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137;Banyuanyar, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57137;Indonesia;271742719;-75.437.666;1.108.066.252;https://maps.google.com/?cid=0x0:0x9f442b4c4d9433d2;;
building materials;Toko Bahan Bangunan;Delta Utama;Jl. A. Yani No.173 C, Ngemplak, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Ngemplak, Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;2716793300;-7.554.518;1.108.286.869;https://maps.google.com/?cid=0x0:0xc94a9fa94cfa8eaa;;
building materials;building materials;Mortar Solo (Rapi Mortar, Eco Mortar, Demix);Jl. Nayu Barat no. 6, Jl. Nayu Barat No.6, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Nayu Barat No.6, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;85179567291;-75.503.149;1.108.229.039;https://maps.google.com/?cid=0x0:0x1c84e7081ceb4cbd;;
building materials;Toko Bahan Bangunan;tb.putra bungsu;no 57134, Jl. Dr. Setiabudi No.57, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Jl. Dr. Setiabudi No.57, Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;271731427;-75.533.763;1.108.181.993;https://maps.google.com/?cid=0x0:0x533ff09c1037ba9f;;
building materials;Toko Bahan Bangunan;Sinar Terang Jaya;Jl. Letjen S. Parman No.116, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134;Gilingan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57134;Indonesia;271717564;-75.548.607;110.823.788;https://maps.google.com/?cid=0x0:0x5a6ed521844ff3b0;;
