Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link;;
building materials;Toko;Mr.DIY XAPN;"JGF6+95J, Kali Harapan, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Kali Harapan, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.751.727;1.355.100.539;https://maps.google.com/?cid=0x0:0x73a3efdff7700e9c;;;
building materials;Toko Bahan Bangunan;Batako pres Mr. R;"JG72+CVX, Jembatan Kali, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jembatan Kali, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.859.788;1.355.022.138;https://maps.google.com/?cid=0x0:0xa8412134107705e1;;;
building materials;Toko Bahan Bangunan;"CV Pilar Sinar Bangunan (Bahan bangunan, Mesin, Spare Part, alat listrik, alat teknik, ban mobil, sanitary)";"Jl. R.E. Martadinata, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082199540758;;;-33.522.772;1.355.120.037;https://maps.google.com/?cid=0x0:0x29b90fc21e4ae0c;;;
building materials;Toko Bahan Bangunan;Toko Bangunan VULGATA;"MG3C+55H, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;;;;-33.470.637;1.355.204.887;https://maps.google.com/?cid=0x0:0x4108742d230d213b;;;
building materials;Toko Bahan Bangunan;BB BATAKO GORONG?;"JF6R+JHQ, Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;082399753202;;;-33.884.013;1.354.914.835;https://maps.google.com/?cid=0x0:0x7a685643e4c502d5;;;
building materials;building materials;Papua 98812;"Kabupaten Nabire, Papua";"Kabupaten Nabire, Papua";PAPUA;;Indonesia;;;;-34.035.019;1.355.299.142;https://maps.google.com/?cid=0x0:0x838968afd8c6f22d;;;
building materials;Toko Bahan Bangunan;Bahan Bangunan  Sparepart DIPAJAYA;"BUMIWONOREJO, Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;085242353535;;;-33.901.568;1.354.882.999;https://maps.google.com/?cid=0x0:0x2e1f4e55f23f8c6f;;;
building materials;Toko;TB Taruna;"JG93+5P8, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.820.831;1.355.043.291;https://maps.google.com/?cid=0x0:0x129d093cb59918ec;;;
building materials;Toko Bahan Bangunan;Toko Bangunan Difian;"Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;0812400013420;;;-34.008.216;1.354.801.451;https://maps.google.com/?cid=0x0:0x9973da42063f154;;;
building materials;Pemasok Bahan Bangunan;Toko Bangunan Duta Tunggal Anugerah (DTA);"JGQ2+XR7, Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;098425750;;;-33.600.946;1.355.020.576;https://maps.google.com/?cid=0x0:0x7c6c633951692b44;;;
building materials;Pemasok Bahan Bangunan;Toko Sinar Surya (Jotun);"Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98817";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98817;Indonesia;081331364111;;;-33.556.552;1.355.091.443;https://maps.google.com/?cid=0x0:0x3a82fb69fb9b82d0;;;
building materials;Toko;DUNIA BANGUNAN;"Jl. Jend. Sudirman, Karang Mulia, Distrik Nabire, Kabupaten Nabire, Papua 98815";"Karang Mulia, Distrik Nabire, Kabupaten Nabire";PAPUA;98815;Indonesia;082239591098;;;-33.732.044;1.355.020.229;https://maps.google.com/?cid=0x0:0x83a82b5ace872855;;;
building materials;Toko Bahan Bangunan;TB Mega;"JG93+6M2, Jl. Patriot, Girimulyo, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Patriot, Girimulyo, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082139048516;;;-33.819.847;1.355.041.355;https://maps.google.com/?cid=0x0:0xbf3b6db35b0e5db2;;;
building materials;Toko Bahan Bangunan;CV. PUSAKA KARYA MANDIRI;"JGC5+5JP, Jl. A Gobay, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. A Gobay, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;098425692;;;-33.795.265;1.355.090.891;https://maps.google.com/?cid=0x0:0x6ab9672a11626998;;;
building materials;Toko Bahan Bangunan;Toko Nacha;"Kali Harapan, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;081330006938;;;-33.789.206;1.355.110.607;https://maps.google.com/?cid=0x0:0x4a4089ecfea6f623;;;
building materials;Toko Bahan Bangunan;BB BATAKO GORONG?;"JF6R+JHQ, Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;082399753202;;;-33.884.013;1.354.914.835;https://maps.google.com/?cid=0x0:0x7a685643e4c502d5;;;
building materials;Toko;Depo Bangunan SP2;"HFF7+J3W, Wadio, Distrik Nabire Barat, Kabupaten Nabire, Papua 98856";"Wadio, Distrik Nabire Barat, Kabupaten Nabire";PAPUA;98856;Indonesia;;;;-34.258.989;1.354.626.972;https://maps.google.com/?cid=0x0:0xdf99ca3afbb8c376;;;
building materials;Toko Bahan Bangunan;Batako pres Mr. R;"JG72+CVX, Jembatan Kali, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jembatan Kali, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.859.788;1.355.022.138;https://maps.google.com/?cid=0x0:0xa8412134107705e1;;;
building materials;Pemasok Bahan Bangunan;Toko Bangunan Dwijaya Nabire;"depan pos pasar, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082323624737;;;-33.818.274;1.355.050.689;https://maps.google.com/?cid=0x0:0x4280ea46f03634b9;;;
building materials;Toko Alat-Alat;Bmw;"JF6P+3WX, Jl. Mandala Atas, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Jl. Mandala Atas, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;;;;-33.897.593;1.354.873.558;https://maps.google.com/?cid=0x0:0x74f7387c10f71bda;;;
building materials;Toko bahan makanan;Tk makmur;"JGC3+6RJ, Jl. Jend. Sudirman, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Jend. Sudirman, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-3.379.415;1.355.045.242;https://maps.google.com/?cid=0x0:0xd754c57f23b254f;;;
building materials;Toko Bahan Bangunan;Toko Bangunan VULGATA;"MG3C+55H, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;;;;-33.470.637;1.355.204.887;https://maps.google.com/?cid=0x0:0x4108742d230d213b;;;
building materials;Toko Bahan Bangunan;"CV Pilar Sinar Bangunan (Bahan bangunan, Mesin, Spare Part, alat listrik, alat teknik, ban mobil, sanitary)";"Jl. R.E. Martadinata, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082199540758;;;-33.522.772;1.355.120.037;https://maps.google.com/?cid=0x0:0x29b90fc21e4ae0c;;;
building materials;building materials;Sumber aluminium nabire;"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua";"Kabupaten Nabire, Papua";PAPUA;;Indonesia;082112521617;;;-33.892.782;1.354.901.812;https://maps.google.com/?cid=0x0:0xa21d63b959f16a01;;;
building materials;building materials;Nabire;"Distrik Nabire, Kabupaten Nabire, Papua";"Kabupaten Nabire, Papua";PAPUA;;Indonesia;;;;-33.722.254;1.355.016.253;https://maps.google.com/?cid=0x0:0x4d0a137f319b277d;;;
building materials;Toko Alat Listrik;Toko Wang Electric Nabire Papua;"Jl. Jend. Sudirman No.88, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;08123538563;;;-3.376.678;1.355.031.718;https://maps.google.com/?cid=0x0:0x9cfdb50b29571cbd;;;
building materials;Toko Bahan Bangunan;PRIMA BANGUNAN;"JF2M+97R, Jl. Poros Wadio, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Jl. Poros Wadio, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;;;;-33.988.755;1.354.835.483;https://maps.google.com/?cid=0x0:0x512933b591bd6d2a;;;
building materials;Jasa penyewaan perancah;NABIRE SCAFFOLDING23;"Jl. Dr. Sam Ratulangi, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;081317346417;;;-33.527.626;135.513.278;https://maps.google.com/?cid=0x0:0x6f10ddc276eddb0d;;;
building materials;Toko Bahan Bangunan;Toko Nasional;"JGR3+449, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082185621364;;;-33.597.207;1.355.028.525;https://maps.google.com/?cid=0x0:0x410898dda7560144;;;
building materials;Toko Bahan Bangunan;PT. GAMPANG TERANG;"MG5J+F7J, Siriwini, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Siriwini, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;081389946443;;;-33.412.996;1.355.306.508;https://maps.google.com/?cid=0x0:0xda3cfcd11ee49f08;;;
building materials;Toko Bahan Bangunan;Toko Sumber Djaya Teknik Nabire;"Jl. Poros Samabusa, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;081313888758;;;-3.355.789;1.355.064.778;https://maps.google.com/?cid=0x0:0x40702da7503694aa;;;
building materials;Toko;Mr.DIY XAPN;"JGF6+95J, Kali Harapan, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Kali Harapan, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.751.727;1.355.100.539;https://maps.google.com/?cid=0x0:0x73a3efdff7700e9c;;;
building materials;Toko Perlengkapan Rumah;Toko Karya Anugerah;"JFJP+G9J, Kalibobo, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Kalibobo, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;085236960535;;;-33.686.632;135.485.878;https://maps.google.com/?cid=0x0:0xa840ac7567e6c952;;;
building materials;building materials;Papua 98813;"Distrik Nabire Barat, Kabupaten Nabire, Papua";"Kabupaten Nabire, Papua";PAPUA;;Indonesia;;;;-34.275.255;1.354.969.122;https://maps.google.com/?cid=0x0:0x185731c4dee7fedd;;;
building materials;Toko Bahan Bangunan;Toko Bangunan Difian;"Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;0812400013420;;;-34.008.216;1.354.801.451;https://maps.google.com/?cid=0x0:0x9973da42063f154;;;
building materials;Toko Bahan Bangunan;Bahan Bangunan  Sparepart DIPAJAYA;"BUMIWONOREJO, Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;085242353535;;;-33.901.568;1.354.882.999;https://maps.google.com/?cid=0x0:0x2e1f4e55f23f8c6f;;;
building materials;Toko;Depo Bangunan SP2;"HFF7+J3W, Wadio, Distrik Nabire Barat, Kabupaten Nabire, Papua 98856";"Wadio, Distrik Nabire Barat, Kabupaten Nabire";PAPUA;98856;Indonesia;;;;-34.258.989;1.354.626.972;https://maps.google.com/?cid=0x0:0xdf99ca3afbb8c376;;;
building materials;Toko Bahan Bangunan;TOKO BANGUNAN NABIRE SANTOSO MITRA SEJAHTERA;"Jl. Dr. Sam Ratulangi No.2, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98817";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98817;Indonesia;085787541264;;;-33.600.958;1.355.020.964;https://maps.google.com/?cid=0x0:0xb6a38fe67511aebd;;;
building materials;Jasa penyewaan perancah;Sewa Scaffolding Nabire (Anugerah Scaffolding);"Unnamed Road, Wadio, Nabire Barat, Nabire Regency, Papua 98856";"Wadio, Nabire Barat, Nabire Regency";PAPUA;98856;Indonesia;081244404859;;;-34.249.512;1.354.630.328;https://maps.google.com/?cid=0x0:0xa5dfcf55111e2b;;;
building materials;Pemasok Bahan Bangunan;Toko Bangunan Duta Tunggal Anugerah (DTA);"JGQ2+XR7, Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;098425750;;;-33.600.946;1.355.020.576;https://maps.google.com/?cid=0x0:0x7c6c633951692b44;;;
building materials;Pemasok Bahan Bangunan;Toko Sinar Surya (Jotun);"Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98817";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98817;Indonesia;081331364111;;;-33.556.552;1.355.091.443;https://maps.google.com/?cid=0x0:0x3a82fb69fb9b82d0;;;
building materials;Toko;DUNIA BANGUNAN;"Jl. Jend. Sudirman, Karang Mulia, Distrik Nabire, Kabupaten Nabire, Papua 98815";"Karang Mulia, Distrik Nabire, Kabupaten Nabire";PAPUA;98815;Indonesia;082239591098;;;-33.732.044;1.355.020.229;https://maps.google.com/?cid=0x0:0x83a82b5ace872855;;;
building materials;Toko Bahan Bangunan;TOKO HIMALAYA BANGUNAN;"HFJ8+4HH, Unnamed Road, Wadio, Nabire Barat, Nabire Regency, Papua 98813";"Unnamed Road, Wadio, Nabire Barat, Nabire Regency";PAPUA;98813;Indonesia;08235020725;;;-34.196.842;1.354.664.923;https://maps.google.com/?cid=0x0:0x329164de0d2df9f8;;;
building materials;Toko Bahan Bangunan;Minak Jinggo;"HF63+4JP, Bumi Raya, Distrik Nabire Barat, Kabupaten Nabire, Papua 98856";"Bumi Raya, Distrik Nabire Barat, Kabupaten Nabire";PAPUA;98856;Indonesia;081343067749;;;-34.399.667;1.354.545.198;https://maps.google.com/?cid=0x0:0xd0612358c1f53a25;;;
building materials;Toko Bahan Bangunan;Toko Bangunan Naruto;"HF63+5VV, Bumi Raya, Distrik Nabire Barat, Kabupaten Nabire, Papua 98856";"Bumi Raya, Distrik Nabire Barat, Kabupaten Nabire";PAPUA;98856;Indonesia;082238176348;;;-34.396.331;1.354.549.358;https://maps.google.com/?cid=0x0:0x9ffc8c66dce0fa89;;;
building materials;Toko Alat-Alat;Bmw;"JF6P+3WX, Jl. Mandala Atas, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Jl. Mandala Atas, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;;;;-33.897.593;1.354.873.558;https://maps.google.com/?cid=0x0:0x74f7387c10f71bda;;;
building materials;Toko;Toko bangunan 58;"Jalan poros Sp 2, Kali Semen, Distrik Nabire Barat, Kabupaten Nabire, Papua 98856";"Kali Semen, Distrik Nabire Barat, Kabupaten Nabire";PAPUA;98856;Indonesia;;;;-34.386.924;1.354.563.521;https://maps.google.com/?cid=0x0:0x3d75a94cb6ec1e9a;;;
building materials;Toko Bahan Bangunan;"CV Pilar Sinar Bangunan (Bahan bangunan, Mesin, Spare Part, alat listrik, alat teknik, ban mobil, sanitary)";"Jl. R.E. Martadinata, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082199540758;;;-33.522.772;1.355.120.037;https://maps.google.com/?cid=0x0:0x29b90fc21e4ae0c;;;
building materials;Toko Bahan Bangunan;Toko Multi Bangunan;"Jl. Dr. Sam Ratulangi No.26, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-3.359.637;135.500.162;https://maps.google.com/?cid=0x0:0x98ed43eaecd09cca;;;
building materials;building materials;TOKO BANGUNAN NABIRE DTA;;;PAPUA;;Indonesia;082215764545;;;-33.650.533;1.355.078.165;https://maps.google.com/?cid=0x0:0x472d11153b9e7ad1;;;
building materials;building materials;Nabire;"Distrik Nabire, Kabupaten Nabire, Papua";"Kabupaten Nabire, Papua";PAPUA;;Indonesia;;;;-33.722.254;1.355.016.253;https://maps.google.com/?cid=0x0:0x4d0a137f319b277d;;;
building materials;Toko;TB Taruna;"JG93+5P8, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.820.831;1.355.043.291;https://maps.google.com/?cid=0x0:0x129d093cb59918ec;;;
building materials;Toko Bahan Bangunan;Toko Bangunan VULGATA;"MG3C+55H, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;;;;-33.470.637;1.355.204.887;https://maps.google.com/?cid=0x0:0x4108742d230d213b;;;
building materials;Jasa penyewaan perancah;NABIRE SCAFFOLDING23;"Jl. Dr. Sam Ratulangi, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;081317346417;;;-33.527.626;135.513.278;https://maps.google.com/?cid=0x0:0x6f10ddc276eddb0d;;;
building materials;Toko Bahan Bangunan;TB Mega;"JG93+6M2, Jl. Patriot, Girimulyo, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Patriot, Girimulyo, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082139048516;;;-33.819.847;1.355.041.355;https://maps.google.com/?cid=0x0:0xbf3b6db35b0e5db2;;;
building materials;Toko Bahan Bangunan;Toko Sumber Djaya Teknik Nabire;"Jl. Poros Samabusa, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;081313888758;;;-3.355.789;1.355.064.778;https://maps.google.com/?cid=0x0:0x40702da7503694aa;;;
building materials;Toko Bahan Bangunan;Toko Nasional;"JGR3+449, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082185621364;;;-33.597.207;1.355.028.525;https://maps.google.com/?cid=0x0:0x410898dda7560144;;;
building materials;Toko Bahan Bangunan;PT. GAMPANG TERANG;"MG5J+F7J, Siriwini, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Siriwini, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;081389946443;;;-33.412.996;1.355.306.508;https://maps.google.com/?cid=0x0:0xda3cfcd11ee49f08;;;
building materials;Toko Bahan Bangunan;Batako pres Mr. R;"JG72+CVX, Jembatan Kali, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jembatan Kali, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;;;;-33.859.788;1.355.022.138;https://maps.google.com/?cid=0x0:0xa8412134107705e1;;;
building materials;Toko Bahan Bangunan;CV. PUSAKA KARYA MANDIRI;"JGC5+5JP, Jl. A Gobay, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. A Gobay, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;098425692;;;-33.795.265;1.355.090.891;https://maps.google.com/?cid=0x0:0x6ab9672a11626998;;;
building materials;Toko Bahan Bangunan;Toko Nacha;"Kali Harapan, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;081330006938;;;-33.789.206;1.355.110.607;https://maps.google.com/?cid=0x0:0x4a4089ecfea6f623;;;
building materials;Toko Bahan Bangunan;BB BATAKO GORONG?;"JF6R+JHQ, Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;082399753202;;;-33.884.013;1.354.914.835;https://maps.google.com/?cid=0x0:0x7a685643e4c502d5;;;
